text,text_pp,category
live coverage suggests  your aid laid hands on Acosta 1st  Or does live t.v lie? If Acosta was a women that bit of theatre wouldn't have worked! You're a scam artist. What's  worse you taint those around you by association.   ,live coverage suggests your aid laid hands on acosta numst or does live t.v lie? if acosta was a women that bit of theatre would not have worked! you are a scam artist. what is worse you taint those around you by association.,0
Isn't  about believing the victims coming out.,is not about believing the victims coming out.,0
"As a Democrat, I was happy that Clinton's sexcapades occured at the same time Mark McGuire was having a home run race w/Sammy Sosa. ","as a democrat, i was happy that clinton sexcapades occured at the same time mark mcguire was having a home run race w/sammy sosa.",1
"From someone who had a good chunk of her  moments at that age bracket, usually by men aged 30-70 (and I DID NOT look mature for my age at all), thank you.

And also, ew. 🤢","from someone who had a good chunk of her moments at that age bracket, usually by men aged num-num (and i did not look mature for my age at all), thank you. and also, ew.",1
"Just listened to your  episode. Thank you, especially for the second segment with D Copaken. So enlightening and eloquent. Really appreciate her actions and perspective 📻","just listened to your episode. thank you, especially for the second segment with d copaken. so enlightening and eloquent. really appreciate her actions and perspective",0
Wait some day m sure some  is there in your account too. Wait.,wait some day m sure some is there in your account too. wait.,0
"           &lt;-- They have shared my story to Help others. Maybe share your story with them, to help even more people? 🦋","&lt;-- they have shared my story to help others. maybe share your story with them, to help even more people?",0
 And then there's the part where the white  movement uses you Black girls to dis Black men.,and then there is the part where the white movement uses you black girls to dis black men.,1
"Honestly, no. But I will be. This will be a turning point, more people will vote, more people will demand that elected officials actually serve their constituents, people will strive to stand up &amp; make a diff. Democracy is battered but we won’t be. 

","honestly, no. but i will be. this will be a turning point, more people will vote, more people will demand that elected officials actually serve their constituents, people will strive to stand up & make a diff. democracy is battered but we will not be.",0
"This just in. Judge Kavanaugh's latest scandal. There are pics of him now being released while he was butt-naked with a couple of women while being spanked. The nurses that were around him when he was born are the latest witnesses found in  Too late now, he's confirmed.🤣","this just in. judge kavanaugh latest scandal. there are pics of him now being released while he was butt-naked with a couple of women while being spanked. the nurses that were around him when he was born are the latest witnesses found in too late now, he is confirmed.",0
"🎶 I’m sorry, what?
Did you really just say that to me? 🎶 

This is exactly the kind of shit I’m talking about in my song  

","i am sorry, what? did you really just say that to me? this is exactly the kind of shit i am talking about in my song",1
 Women have been working on committees to better our communities for well over 100 years.  To say it’s too hard for us women is sexist.  Then you wonder why  was started!,women have been working on committees to better our communities for well over num years. to say it is too hard for us women is sexist. then you wonder why was started!,1
" Hillary Clinton says no, not . You're on your own, sister.","hillary clinton says no, not . you are on your own, sister.",1
Shamed into silence: Female journalists are disproportionately targeted for sexual harassment and assault — and I'm proof.,shamed into silence: female journalists are disproportionately targeted for sexual harassment and assault and i am proof.,0
